,State,County,PM2.5,Date,total_confirmed_cases,Deaths,Recovered,Active
366,Massachusetts,Middlesex,5.1,Mar 29,981,6,0,0
367,Massachusetts,Middlesex,3.3,Mar 30,1141,8,0,0
368,Massachusetts,Middlesex,4.5,Mar 31,1340,17,0,0
369,Massachusetts,Middlesex,3.6,Apr 1,1582,20,0,0
370,Massachusetts,Middlesex,3.0,Apr 2,1870,28,0,0
371,Massachusetts,Middlesex,2.8,Apr 3,2202,38,0,0
372,Massachusetts,Middlesex,6.7,Apr 4,2468,38,0,0
373,Massachusetts,Middlesex,8.1,Apr 5,2632,41,0,0
374,Massachusetts,Middlesex,4.6,Apr 6,2950,47,0,0
375,Massachusetts,Middlesex,7.0,Apr 7,3187,68,0,0
376,Massachusetts,Middlesex,9.5,Apr 8,3545,80,0,0
377,Massachusetts,Middlesex,7.9,Apr 9,4045,80,0,0
378,Massachusetts,Norfolk,2.9,Mar 23,82,0,0,0
379,Massachusetts,Norfolk,3.7,Mar 24,129,0,0,0
380,Massachusetts,Norfolk,4.2,Mar 25,222,1,0,0
381,Massachusetts,Norfolk,6.0,Mar 26,292,2,0,0
382,Massachusetts,Norfolk,4.4,Mar 27,393,6,0,0
383,Massachusetts,Norfolk,5.3,Mar 28,490,8,0,0
384,Massachusetts,Norfolk,1.4,Mar 29,548,9,0,0
385,Massachusetts,Norfolk,3.7,Mar 30,628,10,0,0
386,Massachusetts,Norfolk,3.7,Mar 31,738,12,0,0
387,Massachusetts,Norfolk,2.1,Apr 1,829,15,0,0
388,Massachusetts,Norfolk,0.2,Apr 2,938,21,0,0
389,Massachusetts,Norfolk,3.5,Apr 3,1045,24,0,0
390,Massachusetts,Norfolk,4.6,Apr 4,1199,25,0,0
391,Massachusetts,Norfolk,6.3,Apr 5,1271,26,0,0
392,Massachusetts,Norfolk,2.5,Apr 6,1382,29,0,0
393,Massachusetts,Norfolk,4.4,Apr 7,1592,35,0,0
394,Massachusetts,Norfolk,5.9,Apr 8,1778,41,0,0
395,Massachusetts,Norfolk,4.2,Apr 9,2007,41,0,0
396,Massachusetts,Plymouth,9.5,Mar 23,32,0,0,0
397,Massachusetts,Plymouth,4.0,Mar 24,64,0,0,0
398,Massachusetts,Plymouth,,Mar 25,101,0,0,0
399,Massachusetts,Plymouth,,Mar 26,138,0,0,0
400,Massachusetts,Plymouth,9.0,Mar 27,187,0,0,0
401,Massachusetts,Plymouth,11.8,Mar 28,272,0,0,0
402,Massachusetts,Plymouth,5.8,Mar 29,325,0,0,0
403,Massachusetts,Plymouth,4.2,Mar 30,380,0,0,0
404,Massachusetts,Plymouth,6.1,Mar 31,459,2,0,0
405,Massachusetts,Plymouth,5.7,Apr 1,561,5,0,0
406,Massachusetts,Plymouth,4.2,Apr 2,621,6,0,0
407,Massachusetts,Plymouth,4.1,Apr 3,745,7,0,0
408,Massachusetts,Plymouth,8.0,Apr 4,898,8,0,0
409,Massachusetts,Plymouth,8.5,Apr 5,963,10,0,0
410,Massachusetts,Plymouth,5.4,Apr 6,1067,15,0,0
411,Massachusetts,Plymouth,5.7,Apr 7,1194,26,0,0
412,Massachusetts,Plymouth,7.4,Apr 8,1327,33,0,0
413,Massachusetts,Plymouth,6.7,Apr 9,1507,33,0,0
414,Massachusetts,Suffolk,5.15,Mar 23,154,1,0,0
415,Massachusetts,Suffolk,3.4,Mar 24,234,1,0,0
416,Massachusetts,Suffolk,5.5,Mar 25,342,1,0,0
417,Massachusetts,Suffolk,6.05,Mar 26,448,2,0,0
418,Massachusetts,Suffolk,4.75,Mar 27,631,2,0,0
419,Massachusetts,Suffolk,6.7,Mar 28,843,3,0,0
420,Massachusetts,Suffolk,3.8,Mar 29,940,3,0,0
421,Massachusetts,Suffolk,3.75,Mar 30,1115,5,0,0
422,Massachusetts,Suffolk,5.4,Mar 31,1373,6,0,0
423,Massachusetts,Suffolk,4.85,Apr 1,1624,13,0,0
424,Massachusetts,Suffolk,1.9,Apr 2,1896,19,0,0
425,Massachusetts,Suffolk,1.5,Apr 3,2183,21,0,0
426,Massachusetts,Suffolk,3.6,Apr 4,2429,26,0,0
427,Massachusetts,Suffolk,5.1,Apr 5,2658,27,0,0
428,Massachusetts,Suffolk,1.7,Apr 6,2929,31,0,0
429,Massachusetts,Suffolk,4.3,Apr 7,3245,40,0,0
430,Massachusetts,Suffolk,6.15,Apr 8,3600,48,0,0
431,Massachusetts,Suffolk,4.05,Apr 9,4041,48,0,0
432,Massachusetts,Worcester,7.0,Mar 23,42,0,0,0
433,Massachusetts,Worcester,4.2,Mar 24,73,0,0,0
434,Massachusetts,Worcester,8.3,Mar 25,129,2,0,0
435,Massachusetts,Worcester,9.1,Mar 26,166,3,0,0
436,Massachusetts,Worcester,6.7,Mar 27,219,3,0,0
437,Massachusetts,Worcester,9.5,Mar 28,291,5,0,0
438,Massachusetts,Worcester,4.0,Mar 29,337,5,0,0
439,Massachusetts,Worcester,5.2,Mar 30,390,5,0,0
440,Massachusetts,Worcester,6.8,Mar 31,433,7,0,0
